" Copy"," Copie"
"Ordered","Comandate"
"Order Information","Informatii despre comanda"
"Order Status","Stare comanda"
"Pause","Pauza"
"Paused","In pauza"
"Payment Method","Metoda de plata"
"Payment Review","Verificare plata"
"Pending","In asteptare"
"Pending Payment","In curs de plata"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Introdu numele noului template"
"Please select subscriber(s)","Alege abonat(i)"
"Preview","Previzualizeaza"
"Preview Template","Previualizeaza template"
"Price","Pret"
"Print All Shipments","Printeaza toate livrarile"
"Print Order","Printeaza Comanda"
"Print Order # %s","Printeaza Comanda %s"
"Print Shipment","Printeaza livrarea"
"Processed","Procesat"
"Processing","In curs de procesare"
"Product Name","Nume Produs"
"Qty","Cantitate"
"Qty Invoiced","Cantitate"
"Qty Shipped","Cantitate"
"Queue Date Start","Data de inceput Queue"
"Queue Finish","Final Queue"
"Queue Information","Informatii Queue"
"Queue Newsletter","Queue Newsletter"
"Queue Start","Porneste Queue"
"Queue Subject","Subiect Queue"
"Recipients","Destinatari"
"Reorder","Comanda din nou"
"Reset","Reset"
"Resume","Resume"
"Return Html Version","Return Html Version"
"Save And Resume","Salveaza si continua"
"Save As","Salveaza ca"
"Save Newsletter","Salveaza newsletter"
"Save Template","Salveaza template"
"Selected problem subscribers successfully unsubscribed","Abonatii cu probleme selectati au fost dezabonati"
"Selected problems successfully deleted","Problemele selectate au fost sterse"
"Sender","Expeditor"
"Sender Email","E-mail expeditor"
"Sender Name","Nume expeditor"
"Sending","Se trimite"
"Sending Options","Sending Options"
"Sent","Trimis"
"Set Return-Path","Set Return-Path"
"Sign me up","Sign me up"
"Sign up for our newsletter:","Aboneaza-te la newsletter:"
"Sign Up for Our Newsletter for receiving news about our products","Aboneaza-te la newsletter-ul nostru pentru a primi noutati in legatura cu produsele noastre"
"Shipping Address","Adresa de livrare"
"Shipping Method","Metoda de livrare"
"Shipment #%s","Livrare %s"
"Sku","Cod"
"SKU","Cod"
"Sorry, but your can not subscribe email adress assigned to another user.","Ne pare rau, un utilizator cu aceeasi adresa de email este deja inscris la newsletter."
"Start","Start"
"Status","Stare"
"Store","Magazin"
"Store View","Vitrina"
"Subject","Subiect"
"Subscribe","Aboneaza-te"
"Subscribed","Subscribed"
"Subscriber","Abonat"
"Subscribers","Abonati"
"Subscribers From","Abonati de la"
"Subscription Options","Optiuni abonare"
"Success Email Sender","Expeditor email succes"
"Success Email Template","Template email succes"
"Template Content","Continut template"
"Template Information","Informatii template"
"Template Name","Nume template"
"Template Subject","Subiect template"
"Template Type","Tip template"
"Title","Titlu"
"Thank you for your subscription","Iti multumim pentru abonare"
"Thank you for your subscription.","Iti multumim pentru abonare."
"The subscription has been saved.","Te-ai abonat cu succes la newsletter-ul nostru."
"The subscription has been removed.","Te-ai dezabonat de la newsletter-ul nostru."
"The subscription was successfully saved","Abonarea a fost salvata cu succes."
"There was a problem with the subscription","Eroare. Exista o problema cu abonarea."
"There was a problem with the subscription: %s","Exista o problema cu abonarea: %s"
"There was a problem with the un-subscription.","Exista o problema cu dezabonarea."
"There was an error while saving your subscription","Eroare. Exista o problema cu salvarea abonarii la newsletter."
"Track Order","Track Order"
"Track This Shipment","Urmareste aceasta livrare"
"Track Your Order","Urmareste comanda"
"Track all shipment(s)","Urmareste toate livrarile"
"Track all shipments","Urmareste toate livrarile"
"Tracking","Urmarire"
"Tracking Number","Numar de identificare"
"Tracking Number(s):","Numar/Numere de identificare:"
"Toggle Editor","Schimba editor"
"Type","Tip"
"Unsubscribe","Dezaboneaza"
"Unsubscribe Selected","Dezaboneaza pe selectati"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Expeditor mail dezabonare"
"Unsubscription Email Template","Template mail dezabonare"
"View Newsletter","Vezi newsletter"
"Website","Site"
"You have been successfully unsubscribed.","Ai fost dezabonat cu succes."
"Your subscription was successfully confirmed","Abonarea ta a fost confirmata."
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Shipped By","Livrat de catre:"
